Id usuário, id filme, nota, data hora
,1,3.5,2025-01-01 10:00:00
2,,4.0,2025-01-08 11:15:30
3,3,2.,2025-01-15 12:40:00
4,4,5.0,2025-01-22
5,5,1.5,2025-01-29 14:22:10
6,6,4.5,2025-02-05 16:30:00
7,7,3.0,2025-02-12 17:55:00
8,8,2.0,2025-02-19 10:10:15
9,9,4.8,2025-02-26 11:00:00
10,10,3.2,2025-03-05 08:30:00
11,11,4.1,2025-03-12 13:45:00
12,12,2.9,2025-03-19 15:00:00
13,13,5.0,2025-03-26 16:10:00
14,14,1.0,2025-04-02 10:20:00
15,15,3.9,2025-04-09 14:35:00
16,16,4.4,2025-04-16 11:50:00
17,17,2.2,2025-04-23 13:13:13
18,18,3.7,2025-04-30 10:00:00
19,19,4.9,2025-05-07 12:00:00
20,20,3.0,2025-05-14 14:00:00
21,21,1.8,2025-05-21 16:00:00
22,22,4.2,2025-05-28 09:30:00
23,23,3.3,2025-06-04 11:45:00
24,24,2.7,2025-06-11 10:00:00
25,25,4.6,2025-06-18 13:20:00
26,26,3.1,2025-06-25 15:55:00
27,27,4.0,2025-07-02 17:00:00
28,28,2.4,2025-07-09 10:00:00
29,29,3.6,2025-07-16 12:30:00
30,30,4.7,2025-07-23 08:00:00
1,3,2.5,2025-07-30 13:00:00
2,5,3.8,2025-08-06 11:00:00
3,7,4.3,2025-08-13 14:00:00
4,9,1.9,2025-08-20 10:30:00
5,11,5.0,2025-08-27 12:15:00
6,13,2.1,2025-09-03 15:40:00
7,15,3.4,2025-09-10 16:55:00
8,17,4.4,2025-09-17 09:00:00
9,19,2.8,2025-09-24 11:30:00
10,21,4.0,2025-01-02 13:00:00
11,23,3.3,2025-02-03 14:45:00
12,25,4.6,2025-03-04 10:00:00
13,27,2.3,2025-04-05 12:10:00
14,29,3.7,2025-05-06 09:00:00
15,2,4.9,2025-06-07 14:00:00
16,4,3.0,2025-07-08 11:00:00
17,6,1.2,2025-08-09 15:00:00
18,8,4.2,2025-09-11 10:00:00
19,10,3.5,2025-09-25 13:00:00
20,12,5.0,2025-09-26 10:00:00
21,20,4.9,2025-09-24 09:05:03
23,15,3.0,2025-09-23 14:10:15
1,3,4.5,2025-09-22 13:10:55
